source,target,weight
0,18,0.022293850976651444
1,23,0.009017208216851627
2,4,0.03449736110707762
3,30,0.006301613033154908
4,18,0.01155616991828429
5,21,0.03467498759581767
6,4,0.03630629846620166
7,21,0.013512455825834121
8,12,0.0015755591437603932
9,25,0.009098208994539437
10,15,0.011969842015550142
11,9,0.053351449223287294
12,20,0.002064228560805407
13,7,0.0485224808365534
14,3,0.011137430324136388
15,14,0.006966959447024807
16,10,0.03246221508504271
17,14,0.009397095591039009
18,2,0.010092389635145273
19,24,0.02400878815968445
20,7,0.04536090839855698
21,32,0.02994528096460625
22,16,0.006204054237391597
23,24,0.010274096064264514
26,28,0.009390674106622655
27,32,0.042138045023043566
28,9,0.007284754336264824
29,20,0.0027841923552916962
30,28,0.013834412528438336
31,3,0.08300818659553096
32,6,0.013646913590388825
