FID,Cropland,Forest,Shrub,Grassland,Wate,Wetland,Barren,Impervious,Snow,Pop,Light,P_gdp,AP__mean,BD__mean,CEC__mean,CL__mean,GRAV__mean,PH__mean,POR__mean,TN__mean,TP__mean,tmp_01_mean,tmp_02_mean,tmp_03_mean,tmp_04_mean,tmp_05_mean,tmp_06_mean,tmp_07_mean,tmp_08_mean,tmp_09_mean,tmp_10_mean,tmp_11_mean,tmp_12_mean,pre_01_mean,pre_02_mean,pre_03_mean,pre_04_mean,pre_05_mean,pre_06_mean,pre_07_mean,pre_08_mean,pre_09_mean,pre_10_mean,pre_11_mean,pre_12_mean,pet_01_mean,pet_02_mean,pet_03_mean,pet_03_mean2,pet_04_mean,pet_05_mean,pet_06_mean,pet_07_mean,pet_08_mean,pet_09_mean,pet_11_mean,pet_10_mean,pet_12_mean
0,0.36437183,0.60636176,0.008724397,0.006007926,0.004297108,0,3.97E-05,0.010197243,0,190.5082871,241295,13084.21276,4.546391237,1.209271167,16.3463227,28.78501784,11.77057814,6.345740398,52.98794317,0.204675035,0.057660306,277.9332307,279.4986976,285.3642161,288.6551015,291.6208387,294.8688701,298.12801,297.3995403,294.5588795,288.831049,284.7544617,279.0324547,17.63811611,25.64221063,48.94227384,127.5314859,188.4261522,228.9558714,153.497567,111.0094443,107.6498536,92.71154743,45.32810328,25.4679062,39.7853717,47.15967075,79.75971872,79.75971872,95.19277081,113.5553229,123.9157708,135.3633963,123.2373921,102.329366,51.35872771,70.32558528,36.44747931
1,0.447014093,0.440282652,4.27E-05,0.000158477,0.059908005,0,1.82E-05,0.052575932,0,273.7593286,138665.25,12701.46583,5.28859391,1.204692914,10.42771267,21.74629835,9.630127583,5.810046192,54.31424273,0.145979893,0.052179518,278.8412081,280.1544491,285.9249901,289.7850669,294.0384825,298.8028246,302.3594893,302.2608913,298.448207,291.5452328,286.2538689,278.6746414,37.46079576,93.00186597,113.9551798,191.8313025,166.5313043,285.201256,181.2720691,204.9596929,98.44985584,82.17954914,85.91820737,22.02507208,41.67442066,46.58594713,82.37909594,82.37909594,98.16541428,127.6729277,141.8682146,167.7908837,159.6730872,123.5481034,56.41012091,84.13045915,39.36979223
2,0.37936502,0.526104124,0.002199052,0.072613448,0.007185605,8.62E-05,0.000633115,0.011813316,1.09E-07,178.9064815,346996.5,12167.51919,5.320001943,1.282611295,16.31934685,19.40425763,15.37110717,6.81756615,49.118323,0.159347774,0.064364501,275.6522038,277.4001045,283.702027,287.1790076,290.6978411,293.8231297,296.6817976,296.4088448,292.2062058,286.4813584,281.9180283,276.077621,7.637974429,14.80062934,37.76185657,83.63830816,94.91545574,123.9141974,184.0222212,142.9713055,159.2327057,80.73342236,25.36249157,7.664968949,34.69198588,42.38813153,78.70206718,78.70206718,97.48641391,123.6186858,135.0610028,138.1107386,123.3500832,93.7202973,42.08302937,62.64559279,29.65265655
3,0.753984735,0.056907505,0,2.19E-05,0.120237596,0,2.65E-06,0.068845632,0,348.0169863,14373.75,15681.7375,5.077275779,1.239995121,11.08254963,20.55644556,4.900015811,6.731100037,53.40840048,0.128245183,0.061084425,279.4765145,281.0141379,287.2672972,291.6391653,295.6727453,299.8346628,303.4274945,303.0211554,299.071923,292.3080935,287.6983004,280.4399191,48.26895559,67.72961897,120.0438048,176.7040433,155.4957579,200.5119106,136.2060376,85.06424068,44.6936335,57.86062226,60.86016996,25.21509731,42.08860334,48.42624041,85.84841009,85.84841009,102.5957991,127.8507059,138.9467174,164.0004112,154.0180921,124.300514,58.92816612,83.97406798,41.3296875
4,0.539961906,0.248872142,6.53E-05,0.001474053,0.021881546,0,0.000146405,0.187598601,0,1849.038013,84865.25,19329.5,6.360966667,1.228613838,13.41119059,22.86687677,14.28618529,6.346424791,48.45287318,0.151266773,0.04834408,281.2967907,282.8367255,288.8308553,291.9994664,295.4009784,298.2182701,301.8345019,301.8167507,297.7545064,291.7563223,287.7775793,281.6791728,15.74903647,22.19169137,44.02347317,103.6833827,148.2522606,197.3630077,194.7285799,128.1368515,153.3386155,92.50114883,43.29935517,22.77415505,43.82474059,52.20761192,88.82038245,88.82038245,106.1749629,127.5761562,136.7293359,132.0410762,120.4494441,97.39922917,47.60787874,65.28124074,34.51022087
5,0.805333957,0.133065261,0.000369219,0.005360528,0.008941592,1.29E-06,0.00021227,0.04671588,0,507.1192197,253441.5,14060.55675,5.774517121,1.261086505,14.50856181,22.3035556,14.83224794,6.786386085,47.58032853,0.135194012,0.052747294,280.0584835,282.0750403,287.7682003,291.3951313,294.8758484,297.5178077,300.3597237,300.2806021,296.2764715,290.933625,286.5886938,281.1727578,10.77312298,16.58606428,29.57548542,66.25021608,104.7673154,158.6713289,258.6307147,180.4752062,156.9238937,59.81387562,30.14505904,10.46551525,41.27313287,50.2998775,84.88499072,84.88499072,103.2909855,127.4215663,135.6178838,137.9299935,124.4273198,99.03155092,49.02962673,68.21991981,35.64640575
6,0.485684611,0.477508144,0.001861798,0.000431795,0.009092567,0,2.31E-05,0.025397948,0,297.257116,67324.75,17656.12112,5.849954553,1.242361689,14.72104112,23.80056608,12.48380312,6.30101177,49.28120872,0.160111554,0.053118161,280.1550147,281.674613,287.7277933,291.0072049,294.2596801,296.914676,300.6214892,300.2838467,296.600575,290.8289181,286.7912646,280.8889037,16.63065704,23.26001379,43.5086242,103.988429,167.0156583,202.8624123,172.620507,115.386148,127.2429816,85.61390995,42.76779202,24.00136609,42.61331934,50.44894567,86.00813855,86.00813855,102.7326106,123.3530972,131.7937617,130.6169304,119.0550852,97.26774032,48.44096065,65.79282022,34.52762408
7,0.496643961,0.483392305,0.000201925,9.03E-05,0.004503224,0,3.68E-07,0.015167921,0,267.0172068,16559,14086.57576,4.639585853,1.207632065,14.34693666,25.45771702,11.87155947,6.263120829,49.19364658,0.179418034,0.050415362,279.8207297,281.8800425,287.7306795,291.3398031,294.3456409,296.7783282,300.1850232,299.8305907,296.4405367,290.7569653,286.5697915,281.075305,13.79870656,23.14874517,27.79728958,70.63144402,138.1018378,209.1674363,193.8354517,155.1198571,130.8146525,71.01566795,38.6426834,16.47714286,42.96913514,51.95391506,85.62329344,85.62329344,104.1617915,125.6996023,132.8655019,142.3061931,129.5562471,105.083,54.73688803,73.99419305,38.49300386
8,2.56E-05,0.014196897,0.001426983,0.883041803,0.008188576,0.008439155,0.084651647,3.54E-07,2.90E-05,1.311024696,6657.5,6025.511927,5.598927956,1.186445807,15.54623194,14.33514248,16.88940561,7.539022833,53.18828574,0.262827314,0.075166526,256.8540119,258.9583124,264.303638,268.0302196,272.8467319,277.2919348,280.1560795,279.8848562,276.1801626,269.9694333,262.0768415,257.9801933,2.203906705,3.730481875,5.258817752,13.25822335,45.33469899,83.5236157,110.0160067,84.93357049,66.9803012,18.94888559,2.520105777,2.47899118,3.679655726,8.193371491,27.72389009,27.72389009,42.81049114,66.25749399,83.14990297,115.4038398,104.2523782,73.00464708,14.85568068,41.35546316,5.586265278
9,0.385117645,0.498754609,7.27E-05,0.000837491,0.05783043,0,7.95E-05,0.05730767,0,310.0563577,122429.5,15885.12741,5.50109526,1.254967557,10.75726766,23.7685471,6.507153664,5.695168321,55.6735658,0.153320725,0.062290933,278.9066669,280.5484683,286.9776225,291.020298,295.2354559,299.4775603,302.920975,302.6040299,298.7480623,291.9355385,287.0572497,279.5341185,48.55454855,96.09974067,126.4164808,209.008188,187.0879065,266.7774535,205.0232866,139.7067339,51.29449376,59.82387525,72.91796301,24.72313998,43.08503535,49.05178134,87.61776876,87.61776876,104.6493531,133.9534869,145.8051216,170.0772058,160.8441548,127.1285073,59.1195365,86.24737849,41.47848013
