BM,BTG,BWQ,CLJ,CT,DMZ,FSB,GGS,GTQ,HK,HLS,HMS,JJQ,LJG,LK,NJG,PS,QJDQ,QXC,SJY,SMZ,SPY,SWB,SXC,WC,WHK,XH,XJX,YJ,YLJK,YSG,YYL,ZT
1609.125,34844.875,1126.875,20780.1875,9540.375,23.5625,8520.46875,8601.65625,755.84375,32990.5,11491.3125,7743.71875,1568.5625,3854.1875,12198.46875,11613.5625,11456.3125,213.28125,11052.0,1162.625,4718.15625,8487.96875,11170.6875,37700.09375,41113.15625,33381.4375,2237.34375,254.8125,24936.375,2503.1875,22042.25,13146.375,8544.8125
1570.03125,34612.78125,1722.09375,19616.4375,10718.4375,57.6875,9192.25,9259.15625,918.0,32503.84375,11788.25,7279.84375,1687.1875,4225.59375,11898.28125,11760.78125,11793.875,224.96875,11900.40625,1125.28125,4970.3125,9252.15625,11601.3125,36985.59375,40028.21875,32900.71875,3336.5625,266.90625,24986.65625,2685.15625,20990.71875,12485.3125,9288.96875
1849.6875,34709.9375,2555.28125,18695.75,12260.96875,168.59375,9899.9375,9594.25,1086.46875,32197.0625,13172.28125,6813.65625,1828.9375,4282.25,12490.53125,12981.4375,13217.09375,305.4375,13687.5625,1069.8125,5243.90625,9750.3125,13140.09375,37108.78125,39204.4375,32559.3125,3885.25,305.34375,24902.125,2844.6875,19967.875,12057.0,9911.96875
2134.53125,34436.0,3126.8125,18457.53125,13383.0625,197.84375,10332.96875,9814.90625,1265.8125,31476.0625,15033.78125,6359.6875,1973.15625,4245.59375,14175.90625,14833.0625,15075.09375,444.8125,15337.59375,1011.9375,5509.25,10046.0625,14976.71875,37561.78125,38971.875,31975.75,4329.5,297.03125,24447.09375,2966.125,19224.09375,12315.03125,10278.34375
2197.71875,33403.34375,2947.09375,19294.96875,13512.0,143.3125,10516.03125,9979.125,1444.59375,30988.28125,16245.34375,5938.71875,2147.84375,4210.65625,16043.09375,16196.1875,16244.96875,477.78125,15874.65625,976.71875,5718.125,10167.25,15956.5,36986.375,38900.78125,31177.75,5636.40625,262.09375,24961.9375,3076.28125,19139.15625,13657.46875,10417.09375
2041.71875,32276.59375,2469.84375,20770.40625,13079.25,94.0,10532.28125,10123.25,1601.71875,31693.46875,16271.40625,5567.71875,2364.65625,4154.21875,16909.09375,16388.0,16229.4375,430.75,15411.5,984.59375,5934.96875,10227.65625,15778.75,35371.59375,37961.65625,31290.375,5764.78125,223.21875,26309.03125,3180.15625,20055.15625,15576.09375,10434.78125
1775.46875,32073.34375,2032.65625,21608.125,12650.53125,61.15625,10559.59375,10360.0625,1693.90625,32368.125,15555.59375,5251.21875,2595.4375,4062.90625,16612.375,15735.75,15500.65625,367.96875,14661.375,1075.53125,6273.5,10378.9375,15044.53125,34104.78125,36431.125,32033.5625,4907.8125,199.65625,27031.5625,3265.53125,21416.71875,16767.6875,10508.6875
1500.71875,32437.96875,1698.1875,21306.90625,12489.75,47.0,10758.625,10676.25,1767.5,32405.375,14780.125,4973.3125,2770.4375,3948.8125,15781.4375,14933.34375,14735.125,309.96875,14117.84375,1272.09375,6697.875,10660.03125,14379.96875,33797.40625,35539.53125,32345.625,4117.0,189.15625,27070.0625,3357.65625,22038.84375,16757.28125,10742.59375
1259.1875,32668.125,1466.96875,20356.65625,12578.625,45.9375,11107.28125,11142.9375,1849.21875,31694.9375,14293.71875,4716.53125,2904.71875,3875.34375,15017.65625,14390.71875,14264.65625,262.5625,13879.15625,1571.75,7237.5625,11079.78125,14018.6875,33941.125,35622.5625,32089.0625,3526.65625,190.15625,26266.0,3541.25,21596.90625,16051.21875,11116.09375
1096.09375,32526.0625,1431.1875,19358.84375,13013.625,44.625,11628.90625,11731.71875,1884.125,30328.0,14195.125,4465.28125,3045.5,3889.09375,14593.1875,14222.71875,14182.84375,231.0625,14006.90625,1894.6875,7811.625,11665.15625,13995.3125,33998.5625,36075.25,31208.28125,3031.3125,192.59375,24923.125,3713.5,20618.03125,15268.6875,11666.0
1077.75,32203.96875,2184.34375,18666.875,14192.125,45.6875,12227.75,12165.78125,1895.90625,29102.21875,14966.75,4215.75,3121.4375,3930.5,14674.90625,14826.34375,14995.34375,226.59375,14893.28125,2173.0625,8197.71875,12166.6875,14587.5625,33860.3125,36335.75,30235.0625,2735.15625,215.96875,23908.96875,3811.34375,19732.0625,14767.6875,12234.0625
1599.171875,32099.76563,2880.375,18436.65625,15582.875,53.078125,12791.10938,12531.85938,1898.34375,28840.3125,16732.09375,3972.1875,3233.078125,3977.09375,15809.73438,16516.98438,16768.20313,270.484375,16840.0625,2371.0,8507.171875,12642.875,16230.10938,33799.6875,36324.90625,29553.70313,3124.90625,304.859375,23981.875,3989.609375,19315.42188,14722.32813,12774.07813
2674.5625,31799.92188,2961.5625,19116.125,16944.35938,65.28125,14086.73438,13676.125,1891.796875,29353.84375,18915.73438,3781.859375,3319.875,4046.0,17858.60938,18667.4375,18964.03125,384.296875,19216.4375,2479.765625,9393.875,14033.875,18606.54688,34047.25,36330.0625,29457.42188,4916.515625,813.28125,25141.5,4630.265625,19415.90625,15541.64063,14283.89063
3903.84375,31438.92188,2846.25,21151.5625,19994.07813,75.15625,17239.45313,15376.92188,1862.203125,31059.9375,22052.53125,3797.09375,3407.5,4103.53125,20585.04688,21648.90625,22149.85938,440.28125,23244.26563,2506.65625,10871.76563,15992.14063,22176.45313,33842.48438,36611.60938,30393.42188,6438.171875,1638.71875,27426.125,4564.34375,20354.0,17505.40625,17253.92188
6082.828125,32734.65625,2675.828125,24896.53125,20905.0625,74.109375,18158.26563,15617.15625,1820.921875,34962.53125,26098.4375,4317.3125,3519.578125,4105.453125,24311.23438,25658.42188,26202.375,430.015625,26956.8125,2469.359375,11165.4375,16280.75,26279.6875,33862.09375,36588.25,33893.73438,5905.015625,1466.53125,29879.39063,4547.390625,23297.64063,20622.89063,17701.70313
6315.203125,38118.64063,2494.25,29564.45313,20673.53125,73.71875,18115.79688,15861.10938,1782.1875,40293.6875,27987.15625,5441.640625,3622.90625,4095.625,27466.90625,27910.95313,27988.65625,408.109375,27268.28125,2465.109375,11495.40625,16362.07813,27517.0,37880.14063,37778.73438,39043.40625,4951.265625,1273.203125,33521.9375,4811.515625,27751.78125,24061.01563,17584.75
