BM,BTG,BWQ,CLJ,CT,DMZ,FSB,GGS,GTQ,HK,HLS,HMS,JJQ,LJG,LK,NJG,PS,QJDQ,QXC,SJY,SMZ,SPY,SWB,SXC,WC,WHK,XH,XJX,YJ,YLJK,YSG,YYL,ZT
92904.45,100268.275,97821.2,100104.475,95960.425,97512.625,97814.125,96010.425,67813.525,99198.125,94339.625,100199.0,80990.05,95885.425,100022.475,98555.95,94815.675,99248.3,98415.95,100332.175,95885.425,96853.925,96827.8,99962.325,100453.3,100249.725,100131.525,97557.9,100090.725,87448.85,100041.65,100112.175,97651.825
92911.725,100517.725,97710.8,100110.8,95874.925,97438.4,97702.9,95948.3,67980.625,99400.9,94363.15,100396.375,81004.025,95827.875,99997.025,98541.6,94821.075,99229.5,98304.025,100675.625,95827.875,96777.275,96784.525,100268.0,100796.675,100451.15,100163.425,97461.825,100199.675,87592.325,100092.725,100114.3,97558.825
92678.5,100124.825,97490.1,99792.075,95656.425,97185.575,97482.35,95704.9,68078.425,99042.075,94083.625,100044.625,80971.15,95584.4,99688.725,98249.4,94557.875,98929.35,98115.65,100294.625,95584.4,96527.375,96557.2,99880.8,100402.95,100091.575,99839.2,97219.575,99861.95,87576.35,99764.075,99795.55,97311.35
92867.95,100320.9,97702.25,100040.725,95870.6,97411.925,97708.9,95911.725,68148.45,99269.4,94286.925,100271.25,81057.4,95787.45,99945.725,98485.175,94772.025,99177.175,98326.925,100422.65,95787.45,96756.625,96775.35,100033.35,100537.175,100309.125,100079.6,97454.675,100087.925,87636.15,100000.375,100046.8,97545.1
92975.925,100529.225,97724.825,100247.725,95898.625,97415.575,97717.625,95940.2,68274.325,99556.925,94431.05,100561.0,81406.0,95819.6,100013.125,98525.6,94935.5,99202.625,98379.75,100590.8,95819.6,96753.425,96908.075,100225.525,100743.4,100567.9,100227.75,97435.25,100308.6,87970.55,100172.5,100249.375,97538.775
92807.675,100387.725,97493.275,100029.1,95688.05,97173.425,97482.15,95703.5,68231.55,99365.9,94217.55,100359.7,81247.25,95586.025,99794.55,98313.625,94698.675,98988.675,98141.075,100524.8,95586.025,96521.45,96648.65,100115.825,100663.325,100386.25,100027.125,97192.375,100108.1,87822.15,99974.95,100029.0,97303.325
92923.25,100512.8,97673.025,100090.525,95853.9,97358.725,97673.85,95874.775,68195.1,99360.075,94313.3,100357.025,81138.625,95750.7,99957.55,98507.1,94783.325,99185.575,98301.575,100727.6,95750.7,96705.725,96771.325,100299.75,100836.925,100426.925,100122.925,97396.825,100175.025,87723.55,100055.775,100093.775,97505.9
92768.3,99941.1,97482.475,99830.425,95672.325,97173.95,97470.225,95711.175,68017.35,98927.7,94212.175,99925.025,81035.1,95591.45,99794.85,98376.325,94671.625,99048.025,98091.05,100057.875,95591.45,96522.1,96604.825,99703.175,100093.575,99985.625,99889.2,97210.825,99853.3,87655.9,99800.45,99838.725,97313.3
92602.225,99437.225,97303.675,99498.075,95513.1,97025.4,97321.65,95564.9,68238.675,98573.95,93853.375,99576.65,81063.85,95449.9,99369.35,97928.85,94340.375,98601.45,97959.7,99550.175,95449.9,96385.575,96415.45,99137.325,99675.925,99540.4,99479.775,97078.2,99452.375,87664.725,99396.35,99504.95,97173.05
92686.2,100001.075,97341.325,99658.2,95554.05,97057.025,97338.025,95602.675,68050.325,98851.075,94073.025,99839.7,81132.825,95491.05,99612.475,98194.825,94527.5,98864.9,97957.95,100191.8,95491.05,96406.95,96452.075,99786.875,100292.325,99916.5,99726.075,97081.375,99719.7,87683.2,99639.725,99665.475,97187.775
92796.65,100254.825,97564.6,99954.95,95746.375,97282.55,97571.65,95808.975,68081.65,99141.675,94284.4,100133.175,81141.0,95693.65,99898.6,98458.25,94758.95,99144.675,98187.175,100398.125,95693.65,96626.075,96683.475,100008.8,100505.825,100210.1,100004.1,97310.45,100005.175,87674.2,99915.925,99962.875,97413.95
93096.525,100625.625,97903.3,100361.25,96070.975,97619.2,97917.35,96134.975,68169.275,99520.925,94627.8,100528.85,81218.55,96019.55,100312.0,98871.075,95095.275,99565.25,98532.925,100751.1,96019.55,96953.3,97007.25,100375.825,100848.575,100585.6,100411.325,97639.675,100402.575,87864.95,100325.375,100368.975,97750.9
93115.65,100732.45,97775.975,100459.75,95968.525,97497.8,97771.1,96027.75,68287.45,99680.4,94618.625,100687.75,81397.5,95913.325,100316.75,98855.525,95083.825,99536.15,98414.75,100834.825,95913.325,96829.2,96977.325,100460.5,100949.875,100724.375,100504.7,97496.9,100523.7,88016.9,100429.525,100462.1,97617.675
92900.0,100395.025,97673.575,100160.475,95841.05,97387.725,97664.9,95919.075,68210.225,99375.375,94358.05,100378.7,81181.6,95801.675,100039.9,98573.475,94824.875,99256.075,98294.075,100461.45,95801.675,96718.0,96781.425,100093.275,100584.3,100412.75,100192.1,97396.4,100211.675,87760.75,100116.075,100164.7,97503.95
93468.7,101063.475,98401.2,100811.35,96517.775,98108.375,98388.15,96583.65,68273.925,100006.725,94921.725,101008.8,81504.7,96459.775,100677.225,99191.025,95399.925,99877.425,99011.65,101173.075,96459.775,97428.225,97422.6,100798.4,101273.75,101056.8,100848.3,98117.825,100861.125,88156.05,100770.15,100815.6,98237.35
93173.55,100778.075,97934.025,100480.025,96103.45,97669.275,97925.625,96191.475,68287.25,99725.475,94621.0,100722.7,81375.275,96076.975,100364.825,98875.075,95097.425,99564.125,98525.025,100895.7,96076.975,96998.05,97023.725,100506.2,101003.975,100767.075,100534.475,97668.725,100545.5,87982.525,100455.4,100485.525,97784.35
