BM,BTG,BWQ,CLJ,CT,DMZ,FSB,GGS,GTQ,HK,HLS,HMS,JJQ,LJG,LK,NJG,PS,QJDQ,QXC,SJY,SMZ,SPY,SWB,SXC,WC,WHK,XH,XJX,YJ,YLJK,YSG,YYL,ZT
,0.1004666666666666,0.1179166664999999,,,0.131625,,,,0.04535416675,,0.0411,,0.10602083325,0.06566666675,,0.05143333325,,0.1391666665,0.03877083325,0.01040833325,,,,0.07210416675,,,,,0.0241458335,,,0.08031250025
,,,,,,0.1557277778333333,,,,,0.0478888888333333,,,,0.0551833333333333,0.0582638889999999,,,0.0717444445,,,,,0.0783305556666666,0.0721972221666666,,0.3898833333333333,,,0.0781166666666666,,
0.0365999998,,,,,0.18624,0.0831466666,0.0490366666,,,0.0693266666,0.04248,,,0.1025066666,,0.07184,,0.1311999999999999,0.1879266666,0.0218433333999999,0.0806266664,,0.07434,0.1260766666,0.0790166666,,0.2380733332,,0.0052866666,,0.0644933333999999,
0.056,0.064,,,0.06,0.142,0.048,0.0475,,,0.062,,,0.084,0.109,0.061,0.061,,,0.157,0.0155,,,,0.083,,,0.058,,0.005,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0685,,,,,0.0580833335,0.0533333334999999,,0.1493333335,,,,,,,0.0505833335,,0.084,,,0.0950833335,,0.0813333335,,0.0695,0.0125833335,0.0625,0.0994166665,0.0111666664999999,0.0748333335,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0315416664999999,,,,0.0445833335,0.1288333335,0.0354583335,0.052,,0.079,0.040625,,,0.11925,,,0.0365416665,,0.051375,0.0798333334999999,,,0.0558333335,0.078666667,,,0.0160416665,,,,0.07475,0.077875,
,,0.0494875,0.087483333375,0.053020833375,0.114289583375,,,,,,,0.00655,,,0.042916666625,,0.0218125,,0.10159583325,,,,,0.0878729166249999,,,,,,0.0784499999999999,0.100691666625,
0.0356666666666666,0.0642222223333333,0.019222222,,,0.0980555556666666,,0.0527333333333333,,,0.0442222223333333,0.0681333333333333,,0.0967222223333333,,0.047,,0.0158333329999999,,0.0476666666666666,,0.0766444443333333,,,,,,0.1211777776666666,,,,,0.0472
0.0323611111111111,,0.0181851852222222,,0.0502962963333333,,0.0447222222222222,,0.0144749999999999,0.0764074074444444,,,,,,,0.0463333333333333,0.0142777777777777,0.0474166666666666,0.0665833333333333,0.0192685185555555,0.0601296296666666,0.0480370371111111,,0.0748703704444444,0.06925,,0.0254074074444444,,,,0.1246203703333333,
,,0.012552083375,0.1491,,0.073125,,,,0.076308333375,0.056187500125,0.032125,0.005,0.09853125,,0.0461904762857142,,0.0138125,0.05096875,,0.019016666625,,0.049583333375,0.07948125,0.078,,0.04896458325,,,0.01188125,0.08744791675,0.17375,0.0415277776666666
0.0367777776666666,,,0.136,0.039888889,,,,,0.0662222223333333,,0.038888889,,,,0.0416666666666666,,,,0.0875555556666666,,,0.0514444443333333,0.0772222223333333,0.0863333335,0.0676666666666666,,,0.1508333335,,,,0.037
,,0.005,,,0.07304166675,,,,,,,0.00525,0.12052083325,,0.0431875,,0.0126874999999999,,0.0869375,,,0.04764583325,,0.08170833325,,,0.0215083335,,0.01025,,0.0651666666666666,0.04050416675
,,,,0.0540833335,0.0805833334999999,,,,0.0945,0.0473333335,,,,,0.04525,,0.0136666665,,0.0864166664999999,0.0159166665,0.0655833335,,,,,,,,,0.0740833335,,0.0516666665
0.0483928571428571,0.0773095238571428,,0.0525928571428571,,0.0736166665714285,0.0584142857142857,0.0465380952857142,0.0196666666666666,0.0772904761428571,0.0449119047142857,0.0116499999999999,,,,,,0.0188571428571428,0.04455,0.0899142857142857,0.0160095238571428,0.0508785712857142,0.0475428571428571,,,,0.0399595238571428,,,,0.0744976189999999,,
0.0446907407777777,,0.0098333333333333,,0.0360055554444444,0.0522685185555555,,,,0.0559888888888888,0.0449888888888888,,,,,0.366593749875,0.0401851851111111,,0.0427222222222222,0.0708703703333333,,,0.0450703703333333,0.0600574073333333,0.0609703704444444,,,0.0266685185555555,0.0822129628888889,,,0.0557037036666666,0.034787037
