BM,BTG,BWQ,CLJ,CT,DMZ,FSB,GGS,GTQ,HK,HLS,HMS,JJQ,LJG,LK,NJG,PS,QJDQ,QXC,SJY,SMZ,SPY,SWB,SXC,WC,WHK,XH,XJX,YJ,YLJK,YSG,YYL,ZT
297.42625,299.915,294.72,300.0325,294.865,294.07375,296.17,293.21625,290.08375,302.3975,295.81125,303.38,299.4875,293.6125,297.15,296.345,297.2,296.675,300.13875,297.9,293.6125,294.13375,301.53,297.5825,297.74625,301.04,298.48625,295.195,300.99125,301.4175,299.1075,299.6725,295.1975
293.215,295.4475,294.12,296.19,293.76,296.50375,294.7025,296.6875,290.6475,296.39125,292.29125,298.07625,299.02875,296.70625,295.32125,293.8125,293.23875,294.3025,295.44875,295.4575,296.70625,295.39125,294.37,295.09625,295.4275,295.81375,295.97375,295.1925,295.70875,304.26125,296.04875,296.13,295.5175
293.88875,294.35375,296.72,295.26875,296.135,299.87375,297.32625,299.94625,291.31625,294.67875,290.81125,296.095,298.6425,299.685,293.2675,292.145,291.66,292.655,295.8525,297.155,299.685,299.07125,293.98875,296.66625,296.355,294.88,294.33375,299.305,294.7075,304.27625,294.5075,295.2325,299.2825
294.375,297.67875,298.27,296.7075,297.32625,300.47875,298.6175,300.53625,291.22875,296.13,293.07625,296.915,298.7375,300.24125,296.8275,295.47,293.95625,296.7275,297.20625,299.24875,300.24125,299.89875,296.03875,299.2425,299.385,296.17375,298.0575,299.92,297.73375,304.55625,297.93375,296.67125,299.91
294.765,299.15,298.4825,299.06625,297.54125,300.25875,298.595,299.8425,289.6125,298.1575,293.72875,298.35625,298.335,299.505,298.56625,297.40125,295.1875,298.65125,298.05625,300.1,299.505,299.49875,297.53,299.69625,300.49375,298.48,298.35625,299.3875,299.47,298.69625,298.795,299.3225,299.48375
297.2925,299.84375,301.72,301.475,301.42875,302.29625,302.18625,302.2425,288.6525,299.535,297.23,300.10125,292.22,302.14125,300.29625,300.00875,298.5925,299.68625,300.56875,300.70625,302.14125,301.27375,300.57125,300.2575,301.17375,299.8675,300.315,301.3675,300.98,295.605,300.33,301.6675,301.16
299.38625,302.0675,303.895,302.26875,304.1375,301.1175,304.64625,299.38625,288.28625,300.9475,297.9625,301.185,297.03,298.84125,301.56875,300.27625,299.22625,300.40875,304.1075,302.13625,298.84125,301.36375,301.08125,302.62125,302.33375,301.08375,302.115,302.46,301.43375,299.65,301.6625,302.29875,303.05125
298.71125,302.63,299.745,302.87,299.73,297.07375,300.135,295.93625,287.3925,301.19625,299.09625,301.53,298.58,296.28,301.52625,301.075,300.005,300.98,302.15625,301.47375,296.28,297.05375,301.92,302.26875,302.2575,301.855,302.61625,298.5525,302.23625,301.41875,302.46875,302.8825,298.76875
299.05875,298.36125,297.9575,304.09625,297.78875,297.0575,298.70125,295.94625,287.365,300.285,297.69,301.07125,299.07,296.045,302.9075,301.23875,298.4175,301.1725,301.73375,300.4475,296.045,296.83375,300.27625,298.66,301.52625,300.825,302.98625,297.925,303.0425,302.1075,303.0025,304.15875,298.05375
299.59375,298.73625,298.795,304.4125,298.91625,299.075,299.98625,298.56,288.36625,301.42125,298.2425,302.5975,300.435,298.52625,301.37125,299.75625,299.28625,300.05375,301.29125,299.97625,298.52625,298.625,299.35875,298.86,300.0275,301.8525,302.75,299.6725,302.68125,302.93125,302.805,304.655,299.53875
296.51,299.32125,298.495,302.1375,297.78625,299.8775,299.20875,299.865,287.14875,299.96875,299.44625,300.91875,300.085,299.22,300.25,298.85,299.9,299.20125,298.93375,298.915,299.22,298.995,298.61375,299.10625,299.40375,299.1725,300.2725,298.67125,299.47125,300.945,300.04625,302.0425,299.01625
296.50125,301.5975,300.21,302.2125,299.4825,300.2775,300.545,299.96625,287.09,301.32125,299.165,301.75875,293.23,300.36375,301.62375,300.83375,299.8575,301.1375,299.65375,299.74,300.36375,299.91875,300.03,300.51375,299.97875,301.16875,302.85375,299.60375,302.84125,297.07,302.70625,302.33875,299.97125
