BM,BTG,BWQ,CLJ,CT,DMZ,FSB,GGS,GTQ,HK,HLS,HMS,JJQ,LJG,LK,NJG,PS,QJDQ,QXC,SJY,SMZ,SPY,SWB,SXC,WC,WHK,XH,XJX,YJ,YLJK,YSG,YYL,ZT
92771.5,100252.5,97803.875,100126.625,95912.0,97594.875,97783.625,96096.125,67897.125,99203.0,94312.5,100202.375,81072.875,95968.375,100145.125,98664.875,94741.0,99385.125,98228.25,100309.5,95968.375,96912.125,96576.0,99952.25,100416.125,100241.125,100213.125,97602.375,100108.375,87571.375,100099.375,100137.0,97688.5
92923.25,100315.625,97895.75,100182.875,96019.875,97594.75,97897.875,96080.25,67815.5,99242.625,94328.5,100235.375,81063.0,95953.25,100132.875,98645.125,94804.0,99355.25,98501.625,100346.125,95953.25,96940.375,96891.0,99991.5,100462.25,100321.625,100219.25,97659.0,100169.0,87431.375,100129.875,100191.125,97747.5
92862.875,100235.5,97748.75,100066.625,95897.875,97385.75,97740.25,95888.875,67697.25,99148.625,94325.125,100143.75,80954.25,95765.0,99963.375,98512.25,94809.375,99192.5,98406.5,100261.375,95765.0,96733.625,96854.25,99905.25,100408.0,100211.625,100081.375,97438.5,100053.625,87268.5,99993.0,100075.25,97540.5
92891.125,100194.875,97745.0,100021.375,95899.25,97395.375,97727.25,95894.0,67730.625,99126.625,94289.0,100135.0,80881.125,95768.625,99867.375,98402.5,94791.25,99082.125,98393.25,100273.375,95768.625,96741.125,96845.625,99886.875,100390.625,100175.25,100005.5,97440.5,99993.875,87270.25,99926.875,100028.25,97544.125
93073.5,100342.875,97912.625,100124.875,96073.125,97592.375,97921.625,96092.875,67927.125,99269.75,94443.0,100278.5,80979.0,95971.875,100003.625,98555.0,94932.75,99226.5,98550.125,100470.5,95971.875,96942.375,96972.125,100075.75,100589.5,100299.0,100138.375,97649.125,100128.75,87702.75,100059.125,100129.25,97738.5
93138.875,100649.375,97876.5,100279.25,96064.625,97537.625,97884.375,96037.375,68015.75,99514.625,94556.625,100513.0,81277.25,95913.5,100198.625,98733.25,95017.625,99423.375,98563.0,100779.5,95913.5,96893.375,96999.875,100393.625,100902.625,100568.25,100341.625,97594.625,100358.375,88052.625,100265.625,100285.375,97703.5
93060.25,100743.375,97718.0,100314.125,95911.75,97485.625,97717.5,96012.75,67996.75,99592.5,94583.0,100589.625,81086.125,95897.875,100218.875,98770.625,95032.125,99457.125,98381.75,100916.375,95897.875,96817.0,96932.375,100506.5,101036.875,100646.75,100382.625,97489.25,100416.875,87706.5,100313.25,100318.5,97582.25
92932.375,100530.25,97732.625,100143.75,95883.375,97499.75,97726.875,96008.5,67952.25,99463.375,94363.25,100455.75,80905.875,95885.75,100009.25,98541.25,94811.25,99230.25,98302.0,100755.0,95885.75,96832.25,96784.375,100312.875,100873.125,100495.25,100185.375,97515.75,100235.75,87436.75,100114.75,100148.25,97602.875
92778.75,100395.375,97680.125,99975.75,95824.0,97415.0,97669.875,95921.625,67886.0,99267.125,94240.875,100266.125,80848.875,95802.75,99837.5,98385.125,94705.0,99070.5,98189.0,100534.375,95802.75,96749.0,96650.625,100126.625,100654.875,100328.75,100009.625,97438.25,100043.5,87394.125,99940.75,99977.875,97530.625
92648.375,100270.25,97546.75,99841.125,95690.875,97254.0,97515.875,95761.25,68052.375,99166.875,94072.0,100157.375,80902.0,95639.5,99720.875,98277.75,94539.375,98966.25,98084.375,100392.875,95639.5,96594.75,96555.375,100000.375,100515.875,100216.75,99897.875,97271.25,99943.875,87371.625,99829.25,99841.5,97374.875
92728.375,100081.25,97571.75,99751.75,95735.25,97259.75,97578.125,95764.5,68187.0,98960.75,94038.5,99964.375,80923.875,95641.625,99699.75,98265.25,94519.75,98947.5,98196.25,100228.75,95641.625,96608.125,96594.75,99832.25,100331.125,100019.75,99820.625,97316.875,99825.5,87473.125,99736.25,99756.125,97409.625
92734.375,100136.5,97512.0,99829.5,95690.875,97212.0,97518.375,95722.0,68215.125,99028.375,94165.25,100036.875,81087.5,95594.25,99758.0,98334.0,94639.125,99005.625,98169.25,100298.25,95594.25,96554.75,96589.25,99888.75,100401.625,100095.75,99877.875,97251.0,99873.375,87712.25,99795.125,99834.25,97345.125
92710.5,100108.375,97532.75,99816.875,95688.625,97224.5,97494.5,95761.125,68097.125,99033.875,94152.0,100028.25,80976.25,95645.75,99684.25,98246.5,94637.0,98918.5,98129.5,100292.125,95645.75,96551.875,96640.625,99873.5,100408.875,100063.0,99823.5,97223.75,99845.625,87536.0,99751.75,99823.625,97321.375
92655.375,100145.375,97430.5,99845.625,95602.5,97139.5,97427.75,95666.25,68021.75,99101.75,94082.625,100102.125,80998.75,95545.125,99690.0,98228.625,94550.75,98911.75,98053.875,100328.125,95545.125,96486.375,96499.0,99911.25,100439.375,100142.75,99878.75,97182.5,99895.625,87633.875,99803.375,99847.25,97264.0
92563.875,100152.625,97403.5,99716.625,95564.875,97092.125,97393.0,95610.625,67871.125,99085.625,93979.75,100091.5,80869.375,95495.25,99611.625,98172.625,94442.75,98863.375,98029.375,100325.875,95495.25,96435.75,96462.375,99898.25,100433.75,100136.625,99795.25,97123.75,99869.625,87526.5,99733.875,99716.5,97216.625
92663.875,100039.375,97528.625,99737.0,95681.625,97266.375,97528.25,95790.625,68147.25,98967.5,94090.0,99972.75,81006.75,95671.875,99659.5,98235.0,94570.125,98921.75,98112.25,100181.0,95671.875,96605.875,96575.875,99761.125,100300.0,99987.75,99722.25,97300.375,99761.875,87496.625,99649.875,99743.5,97384.75
92800.875,100212.375,97585.0,100021.875,95772.25,97277.5,97601.875,95785.375,68018.75,99191.5,94294.25,100194.75,81054.75,95661.25,99938.125,98494.5,94760.375,99172.375,98261.25,100182.0,95661.25,96623.25,96719.875,99843.125,100323.125,100243.375,100047.125,97328.75,100032.125,87636.375,99966.5,100028.875,97421.125
92883.75,100536.0,97735.375,100194.5,95909.5,97423.625,97737.875,95911.75,68190.75,99427.625,94356.375,100433.0,81026.75,95789.0,100034.875,98545.625,94844.0,99235.375,98369.0,100674.75,95789.0,96779.0,96849.125,100267.125,100797.0,100487.375,100238.625,97472.375,100235.875,87513.75,100156.875,100199.625,97563.375
92977.75,100455.375,97806.875,100122.25,95977.25,97519.125,97833.125,95997.125,68152.875,99411.375,94327.75,100410.5,81013.375,95865.625,100050.375,98569.5,94817.5,99279.25,98444.75,100574.5,95865.625,96865.625,96856.25,100185.5,100667.75,100455.375,100224.5,97573.375,100243.125,87662.5,100142.75,100127.0,97664.5
93013.5,100361.375,97855.375,100128.0,96012.375,97573.0,97843.375,96073.75,68232.625,99349.0,94366.25,100345.25,81185.375,95949.5,100045.75,98581.25,94868.125,99277.125,98447.375,100501.0,95949.5,96909.375,96875.625,100109.875,100598.0,100371.75,100165.5,97598.5,100166.625,87871.5,100085.875,100135.0,97691.75
93153.25,100507.375,97912.625,100300.0,96089.375,97591.375,97905.375,96109.875,68303.5,99567.625,94655.375,100575.0,81370.875,95983.5,100220.5,98763.125,95156.625,99444.625,98584.25,100553.75,95983.5,96936.0,97111.5,100219.25,100674.375,100562.875,100336.5,97621.375,100346.375,88012.625,100254.625,100306.25,97725.125
93212.75,100587.75,98011.25,100355.625,96175.375,97686.375,98009.375,96199.625,68334.75,99598.375,94623.25,100607.625,81342.75,96080.875,100151.25,98687.75,95144.625,99371.875,98657.5,100573.625,96080.875,97027.125,97122.625,100257.25,100744.75,100610.0,100325.25,97719.0,100383.0,87941.125,100261.125,100358.625,97825.625
93000.875,100465.25,97693.625,100247.375,95878.375,97362.25,97692.5,95890.125,68046.5,99527.0,94423.375,100541.625,81435.0,95775.875,99961.375,98467.875,94940.25,99145.625,98393.625,100540.375,95775.875,96696.0,96944.125,100145.5,100715.625,100547.0,100190.5,97365.75,100301.5,88037.25,100148.875,100248.125,97479.875
92697.25,100564.0,97404.0,100228.75,95581.25,97157.0,97388.125,95698.75,68270.5,99572.625,94270.5,100574.875,81422.875,95576.375,99939.75,98424.125,94733.0,99098.5,97998.875,100650.25,95576.375,96482.0,96574.5,100268.25,100805.25,100587.625,100224.25,97157.5,100325.5,87934.0,100173.375,100228.125,97252.625
92815.5,100521.75,97602.625,100106.875,95768.75,97280.875,97592.75,95802.625,68416.375,99519.0,94182.75,100505.875,81458.5,95681.375,99792.75,98285.125,94703.0,98952.5,98264.5,100636.0,95681.375,96626.0,96787.625,100237.375,100777.0,100532.0,100062.25,97312.625,100186.625,87927.75,100024.5,100105.75,97410.625
92771.5,100211.25,97505.0,99853.75,95695.125,97135.875,97499.125,95649.625,68432.875,99243.75,94091.75,100238.0,81277.875,95530.375,99619.125,98151.375,94606.875,98840.125,98179.125,100305.75,95530.375,96488.5,96654.375,99909.5,100453.0,100249.625,99809.875,97172.25,99925.5,87839.0,99768.875,99852.875,97280.75
92644.25,100174.5,97267.875,99837.375,95475.25,96951.25,97256.25,95477.5,67959.875,99180.875,93945.875,100174.125,81128.5,95351.875,99502.125,97981.0,94444.0,98658.5,97922.75,100276.25,95351.875,96312.5,96452.375,99880.875,100425.5,100188.125,99812.625,96981.625,99923.75,87709.125,99774.5,99837.25,97082.25
92640.125,100377.25,97163.75,100008.0,95404.25,96832.5,97155.25,95374.625,68135.875,99370.0,94128.125,100361.0,81124.5,95252.125,99716.375,98216.25,94590.875,98884.0,97860.25,100485.5,95252.125,96183.125,96453.875,100083.0,100624.5,100397.25,100012.25,96832.25,100098.875,87653.875,99966.625,100006.5,96958.875
92851.75,100603.5,97557.25,100219.625,95729.125,97275.375,97516.75,95831.875,68228.875,99549.625,94391.25,100543.875,81246.25,95725.75,99996.25,98533.625,94856.75,99194.25,98115.125,100763.25,95725.75,96604.875,96693.375,100343.375,100885.875,100578.125,100239.875,97259.375,100305.0,87823.25,100181.25,100219.375,97377.375
93130.75,100572.125,97972.5,100226.75,96136.5,97672.125,97983.375,96183.875,68400.25,99485.25,94530.75,100481.5,81459.125,96070.0,100138.875,98685.875,94994.875,99366.5,98628.125,100793.25,96070.0,97018.25,96989.25,100362.375,100927.75,100518.125,100261.0,97716.375,100287.375,88085.5,100183.5,100229.0,97817.375
93004.625,100481.5,97758.375,100118.625,95927.0,97451.0,97758.125,95979.375,68485.375,99333.25,94328.125,100342.625,81296.25,95861.875,99956.125,98501.5,94800.0,99178.25,98394.625,100612.5,95861.875,96800.0,96848.75,100220.5,100722.625,100422.125,100096.375,97498.5,100191.25,87900.125,100039.75,100119.75,97597.25
92907.125,100409.5,97710.0,100036.75,95871.125,97426.875,97697.625,95943.375,68300.25,99299.125,94285.875,100295.0,81142.5,95822.25,99905.625,98457.75,94759.5,99137.875,98285.75,100598.125,95822.25,96765.0,96735.75,100168.125,100706.5,100376.25,100057.5,97453.25,100082.75,87715.0,99987.625,100042.75,97560.875
92937.125,100501.75,97688.875,100099.75,95875.875,97361.125,97698.75,95866.375,68128.375,99400.875,94295.375,100398.875,81086.75,95737.0,99974.375,98510.5,94768.375,99205.125,98337.75,100731.375,95737.0,96712.75,96790.0,100298.25,100842.375,100454.125,100151.75,97411.625,100203.5,87666.375,100084.875,100105.375,97519.125
92917.125,100595.0,97643.375,100140.625,95831.125,97328.625,97644.25,95839.25,68061.375,99413.25,94330.625,100402.375,81072.125,95715.375,100006.0,98548.375,94800.25,99220.5,98288.875,100863.75,95715.375,96670.125,96760.625,100417.125,100981.625,100464.75,100182.875,97348.625,100221.25,87646.5,100111.5,100142.375,97465.625
92850.25,100576.25,97564.5,100056.875,95764.375,97226.0,97570.5,95745.5,68000.125,99353.875,94326.5,100346.25,81095.5,95617.0,99945.625,98517.375,94788.5,99186.125,98200.875,100832.25,95617.0,96580.75,96721.5,100394.75,100931.5,100417.375,100126.125,97272.125,100176.375,87689.75,100055.125,100058.625,97386.625
92799.375,100405.875,97494.5,99934.0,95701.125,97183.25,97502.5,95721.125,67943.125,99205.5,94248.0,100191.125,81050.875,95596.0,99890.375,98458.0,94698.125,99134.125,98120.375,100629.75,95596.0,96530.5,96621.875,100214.5,100714.375,100294.375,100036.375,97223.25,100067.0,87677.125,99963.75,99938.875,97325.625
92780.75,100311.0,97429.625,99939.625,95640.75,97098.625,97428.375,95645.625,68012.0,99116.625,94317.75,100113.25,81064.375,95521.75,99921.625,98502.0,94772.5,99177.75,98083.375,100522.0,95521.75,96454.625,96642.625,100125.0,100593.375,100218.375,100034.25,97138.25,100021.625,87664.0,99948.0,99947.125,97250.875
92863.0,100140.125,97614.75,99925.5,95770.125,97294.125,97572.375,95833.25,68009.25,99046.875,94381.25,100050.75,81045.75,95720.375,99946.625,98555.5,94838.75,99219.625,98201.75,100296.0,95720.375,96625.875,96740.625,99924.125,100353.375,100124.625,100018.0,97310.375,99987.5,87737.625,99923.25,99935.375,97410.625
92812.875,99731.625,97546.125,99809.625,95732.875,97231.0,97540.25,95741.125,67946.5,98833.125,94189.625,99833.875,81103.0,95617.125,99752.625,98332.25,94647.375,99004.25,98145.75,99716.75,95617.125,96586.75,96634.0,99431.875,99700.625,99859.25,99835.875,97284.125,99768.75,87727.0,99740.25,99819.0,97386.5
92585.5,99116.875,97327.375,99543.375,95516.75,97062.75,97307.625,95614.75,68175.875,98436.375,93924.25,99436.125,80911.5,95502.0,99463.0,98033.875,94401.375,98704.375,97904.0,99124.875,95502.0,96412.75,96385.0,98820.375,99106.125,99431.5,99521.5,97098.125,99421.625,87473.75,99427.0,99553.25,97192.875
92635.5,98797.25,97356.875,99417.375,95560.125,97082.75,97389.875,95629.625,68159.625,98226.375,93870.625,99242.25,80926.5,95520.75,99355.5,97937.125,94357.875,98617.375,98037.375,99011.375,95520.75,96442.375,96455.375,98496.375,99114.125,99159.125,99376.625,97137.375,99241.5,87520.625,99270.125,99426.5,97230.0
92583.25,99209.75,97293.625,99482.875,95505.25,97005.0,97314.375,95549.875,68175.125,98415.375,93834.75,99426.25,81007.5,95438.375,99384.25,97946.0,94330.75,98618.625,97994.375,99336.625,95438.375,96366.625,96452.0,98889.375,99480.75,99295.375,99423.75,97058.625,99336.0,87622.625,99322.5,99492.5,97150.0
92622.625,99750.875,97315.0,99625.375,95523.125,97008.875,97316.875,95551.125,68188.625,98801.125,93887.375,99803.375,81173.0,95434.75,99473.125,98014.75,94374.875,98687.875,97971.75,99763.75,95434.75,96373.625,96459.25,99418.625,99897.25,99787.5,99626.5,97066.875,99643.625,87674.0,99555.625,99630.5,97161.625
